config,best_val_mpjpe_px,test_mpjpe_px,test_pck@0.05
naive_copy_previous,,18.746801376342773,0.875968992248062
lstm_baseline,92.52237701416016,64.90836334228516,0.48279013097776424
lstm_velocity,98.68141174316406,68.21587371826172,0.47040308660777747
