epoch,train_mse,val_mse,val_mpjpe_px,val_pck@0.05
1,0.04040716279572356,0.05003932670236909,227.67083740234375,0.048382989559460146
2,0.00846328126416338,0.04211462530143121,193.45191955566406,0.05869620575502928
3,0.006848387477554207,0.03822023951433559,186.38853454589844,0.06722689075630252
4,0.005252997765624035,0.02584427103081489,147.70558166503906,0.12961548255665903
5,0.0033297017326887773,0.02504382832324441,144.8687286376953,0.09472880061115355
6,0.0022915190911084234,0.02551524390909761,147.1915283203125,0.08772599949070538
7,0.0019086901169161122,0.024927276101979343,142.49026489257812,0.09549274255156608
8,0.0015685024361107233,0.024781543612081736,139.79786682128906,0.10847975553857907
9,0.0014068581299278339,0.024380173932581663,138.95408630371094,0.09867583396995162
10,0.0013305764293468157,0.02378818698546147,136.8045654296875,0.10007639419404125
11,0.001267584862665411,0.023020913505697634,134.50079345703125,0.10784313725490197
12,0.0012471000794258323,0.023003285481808657,133.93959045410156,0.11026228673287497
13,0.0011943721992280657,0.02190422455974441,131.5648956298828,0.1092436974789916
14,0.0011597287685104459,0.02121118552743751,129.5196075439453,0.11115355233002291
15,0.0011228012906073976,0.020669538557609134,128.367919921875,0.10949834479246244
16,0.0010900522766695696,0.019472630146671745,124.70452117919922,0.11624649859943978
17,0.0010665621430767738,0.017921627006110025,120.55721282958984,0.12083015024191494
18,0.0010461710000887882,0.01765055903656916,121.01695251464844,0.12070282658517953
19,0.0010275658885483048,0.016337583927228488,117.854248046875,0.12133944486885663
20,0.0010095340909805795,0.015814520279194583,115.98693084716797,0.1259230965113318
21,0.0010012891855959204,0.014985770375572425,113.9625473022461,0.12783295136236314
22,0.0009930432571383693,0.015285631771234268,114.37960052490234,0.13037942449707154
23,0.0009738449429726518,0.015027964537475198,112.81944274902344,0.13941940412528647
24,0.0009838799362796465,0.015249814688760967,114.56636047363281,0.12961548255665903
25,0.0009474065632347345,0.01468127569492488,112.0937728881836,0.13687293099057804
26,0.0009213642570225817,0.014333058168543852,111.10547637939453,0.1400560224089636
27,0.0009130564319990732,0.014030075517488036,111.56901550292969,0.13891010949834479
28,0.0009355105133534771,0.01404433615784594,109.71852111816406,0.1460402342755284
29,0.0009231002831038796,0.013851683517111177,109.06320190429688,0.1448943213649096
30,0.0008948748223000758,0.013980642299760471,109.57482147216797,0.14858670741023683
31,0.0008696439461873537,0.013410339390928732,107.31207275390625,0.15342500636618284
32,0.0008725278533188378,0.013522004335122632,108.36506652832031,0.15151515151515152
33,0.0008709423868846258,0.012823465813130618,104.37797546386719,0.16972243442831678
34,0.0008577659423865383,0.012987148340412959,106.1718978881836,0.15648077412783296
35,0.000835540985496495,0.012832277613806533,105.88069915771484,0.15482556659027247
36,0.0008351058225307661,0.01263356703846531,103.90863037109375,0.1650114591291062
37,0.000840167747810483,0.012450924392211883,103.63984680175781,0.16348357524828114
38,0.0008209808321129517,0.0124990547095789,104.48609161376953,0.16042780748663102
39,0.000833645871318079,0.012378966146930653,103.25369262695312,0.16781257957728546
40,0.0008190951895585898,0.01238082469326449,104.03298950195312,0.16284695696460402
41,0.0008257216901887854,0.01212480416730604,101.56328582763672,0.18372803666921314
42,0.0008483415283315209,0.012649109651817677,105.33702850341797,0.15597147950089127
43,0.0008285183773605554,0.012218973166085181,104.6962890625,0.1497326203208556
44,0.0008091182744649682,0.011830616757313516,102.00025177001953,0.1711229946524064
45,0.000795559468390497,0.012274306481654312,103.96714782714844,0.16055513114336645
46,0.0008029206470494697,0.012340836680150605,103.53921508789062,0.16832187420422715
47,0.0008151535117777609,0.012561172162267294,106.71443176269531,0.15215176979882863
48,0.0007989755483549914,0.012102816746953656,102.04489135742188,0.1792717086834734
49,0.0007787102850970611,0.012318392876874317,102.98970794677734,0.17888973771326713
50,0.000790547820098158,0.012414904948782156,104.34449005126953,0.16412019353195823
51,0.0007886640114568392,0.01190654367686593,102.03956604003906,0.17303284950343775
52,0.0007776800394555027,0.011802288250409984,101.56452941894531,0.17888973771326713
53,0.0007838850516782532,0.011493080743852465,100.29222869873047,0.18436465495289026
54,0.0007879000966952152,0.011873564887094625,101.98723602294922,0.17252355487649607
55,0.0007783376754686281,0.011584366422724278,102.40176391601562,0.1627196333078686
56,0.0007783726204444174,0.011210513819148515,100.00731658935547,0.17825311942959002
57,0.0007760899766714954,0.012185789789147874,103.69661712646484,0.1657754010695187
58,0.0007641905080194702,0.011982209517316704,103.10273742675781,0.17379679144385027
59,0.0007570658196523019,0.012067350459329903,102.57624816894531,0.17850776674306085
60,0.0007830781335253226,0.011288721552666496,99.85065460205078,0.18067226890756302
61,0.0007594314697363003,0.011422419527117263,100.3312759399414,0.17888973771326713
62,0.0007545638335819736,0.011777867851928275,102.66181945800781,0.16704863763687294
63,0.000741795657267675,0.011823904815124955,103.4328384399414,0.1532976827094474
64,0.0007421412009460352,0.011069361050737733,98.68141174316406,0.18780239368474663
65,0.000747318613329996,0.012033038165041789,103.17988586425781,0.16908581614463966
66,0.0007579826124402212,0.011371808803894302,100.62828063964844,0.17583396995161701
67,0.0007431684242061862,0.011680927262068751,102.40840911865234,0.16590272472625414
68,0.000741353450431527,0.01201992100453313,103.78792572021484,0.17010440539852303
69,0.0007393030062454993,0.011954450177994961,104.09165954589844,0.15813598166539344
70,0.0007415513341314391,0.011574337179249621,101.3541259765625,0.17265087853323147
71,0.0007333733051946033,0.012066458287165764,103.96998596191406,0.16730328495034377
72,0.0007260734747862968,0.01136144671469608,101.48126220703125,0.16539343009931246
73,0.0007325216497967732,0.011362664625646278,100.89613342285156,0.1692131398013751
74,0.000763500382029399,0.011956629403094875,102.31175231933594,0.17863509039979628
75,0.0007371747934757672,0.012067199609974488,104.32992553710938,0.15227909345556404
76,0.0007322925491665038,0.011978923816253794,103.83328247070312,0.1557168321874204
77,0.0007412929428464248,0.01231949909385991,105.05622863769531,0.15991851285968933
78,0.0007474506666144226,0.011647021920883401,102.38457489013672,0.17137764196587726
79,0.0007574540909024964,0.011521404260460706,101.36550903320312,0.17443340972752738
80,0.0007530944386901576,0.011600509808861955,102.5459976196289,0.1633562515915457
